"통계분류","항목","단위","1994 년","1995 년","1996 년","2002 년","2004 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2013 년","2015 년","2017 년","2019 년","2021 년",
"30~39세","철학,사상,종교","","","","","","","","","","","0","7.9","6.5","7","6.5","2.7","",
"30~39세","기 타","","3","2.1",".8","4.5",".2",".4","1.3","1.1",".8","3.7",".2","","","","","",
"40~49세","사례수","","206","214","218","220","178","238","238","240","240","170","","329","744","754","667","499",
"40~49세","계","","","","","","","","","","","0","100","100","","100","","",
"40~49세","소설( 장르 소설 포함)","","","","","","","","","","","0","","9.9","13.5","11.7","15","26",
"40~49세","수필","","6.2","6.1","4.6","10.2","10.4","7.9","7.7","10.6","9.2","0","","","","","","11.9",
"40~49세","재테크","","","","","4.1","3.9","4.3","6",".5","5.3","0","","","","","","11.2",
"40~49세","철학, 사상, 종교","","3.7","2.5","2.4","2.2","1.9","2.7","3.3","2.2","3","0","","","","","","6.2",
"40~49세","자기계발서","","","","","","","","","","","0","8.3","9.8","8.4","10","11.3","6.5",
"40~49세","취미,오락,여행,건강","","","","","","","","","","","0","18.1","12.2","12.7","10.9","8.8","7.2",
"40~49세","경제,경영","","","","","","","","","","","0","5.9","7.9","9.1","9.1","9.4","7.3",
"40~49세","정치,사회,시사","","","","","","","","","","","0","7.8","3.1","3.6","4.8","3.4","5.2",
"40~49세","어학, 외국어","","","","","1.2",".9","2.2","1.2",".7",".3","0","","","","2.4","","1.2",
"40~49세","역사, 지리","","3.2","3","2.9","2.4","2.3","2.9","3.1","1.7","2.4","0","","","","","","4.7",
